Product_ID,Product_Type,Product_Name,Category,Risk_Level,Expected_Return (%),Investment_Horizon (Years),Volatility_Level
148535,Mutual Fund,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,General Mutual Fund,Medium,8.0,3,Medium
148533,Mutual Fund,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
123688,Mutual Fund,Kotak Banking and PSU Debt - Annual Dividend,General Mutual Fund,Medium,8.0,3,Medium
123858,Mutual Fund,Kotak Banking and PSU Debt - Daily Dividend Reinvestment,General Mutual Fund,Medium,8.0,3,Medium
123859,Mutual Fund,Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,General Mutual Fund,Medium,8.0,3,Medium
123690,Mutual Fund,Kotak Banking and PSU Debt - Growth,General Mutual Fund,Medium,8.0,3,Medium
123691,Mutual Fund,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,General Mutual Fund,Medium,8.0,3,Medium
123689,Mutual Fund,Kotak Banking and PSU Debt Direct - Annual Dividend,General Mutual Fund,Medium,8.0,3,Medium
123693,Mutual Fund,Kotak Banking and PSU Debt Direct - Growth,General Mutual Fund,Medium,8.0,3,Medium
123692,Mutual Fund,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,General Mutual Fund,Medium,8.0,3,Medium
120337,Mutual Fund,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
120338,Mutual Fund,LIC MF Banking & PSU Fund-Direct Plan-Growth,General Mutual Fund,Medium,8.0,3,Medium
120339,Mutual Fund,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,General Mutual Fund,Medium,8.0,3,Medium
120336,Mutual Fund,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,General Mutual Fund,Medium,8.0,3,Medium
105822,Mutual Fund,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
105823,Mutual Fund,LIC MF Banking & PSU Fund-Regular Plan-Growth,General Mutual Fund,Medium,8.0,3,Medium
105856,Mutual Fund,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,General Mutual Fund,Medium,8.0,3,Medium
105857,Mutual Fund,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,General Mutual Fund,Medium,8.0,3,Medium
148419,Mutual Fund,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,General Mutual Fund,Medium,8.0,3,Medium
148417,Mutual Fund,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,General Mutual Fund,Medium,8.0,3,Medium
148416,Mutual Fund,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,General Mutual Fund,Medium,8.0,3,Medium
148418,Mutual Fund,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,General Mutual Fund,Medium,8.0,3,Medium
134552,Mutual Fund,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,General Mutual Fund,Medium,8.0,3,Medium
134547,Mutual Fund,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,General Mutual Fund,Medium,8.0,3,Medium
134546,Mutual Fund,Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option,General Mutual Fund,Medium,8.0,3,Medium
134545,Mutual Fund,Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,General Mutual Fund,Medium,8.0,3,Medium
134555,Mutual Fund,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
134550,Mutual Fund,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
134556,Mutual Fund,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
134554,Mutual Fund,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
134548,Mutual Fund,NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
134549,Mutual Fund,NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
134551,Mutual Fund,NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
134553,Mutual Fund,NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
125502,Mutual Fund,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),General Mutual Fund,Medium,8.0,3,Medium
125503,Mutual Fund,SBI BANKING & PSU FUND - Direct Plan - Growth,General Mutual Fund,Medium,8.0,3,Medium
125505,Mutual Fund,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),General Mutual Fund,Medium,8.0,3,Medium
125504,Mutual Fund,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),General Mutual Fund,Medium,8.0,3,Medium
125498,Mutual Fund,SBI BANKING & PSU FUND - Regular Paln - Growth,General Mutual Fund,Medium,8.0,3,Medium
125499,Mutual Fund,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),General Mutual Fund,Medium,8.0,3,Medium
125501,Mutual Fund,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),General Mutual Fund,Medium,8.0,3,Medium
125500,Mutual Fund,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),General Mutual Fund,Medium,8.0,3,Medium
134363,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,General Mutual Fund,Medium,8.0,3,Medium
134370,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,General Mutual Fund,Medium,8.0,3,Medium
134369,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,General Mutual Fund,Medium,8.0,3,Medium
134355,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,General Mutual Fund,Medium,8.0,3,Medium
134358,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,General Mutual Fund,Medium,8.0,3,Medium
134356,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,General Mutual Fund,Medium,8.0,3,Medium
134359,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,General Mutual Fund,Medium,8.0,3,Medium
134361,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,General Mutual Fund,Medium,8.0,3,Medium
134362,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,General Mutual Fund,Medium,8.0,3,Medium
134360,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,General Mutual Fund,Medium,8.0,3,Medium
119629,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,General Mutual Fund,Medium,8.0,3,Medium
119627,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),General Mutual Fund,Medium,8.0,3,Medium
119625,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,General Mutual Fund,Medium,8.0,3,Medium
119626,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),General Mutual Fund,Medium,8.0,3,Medium
118326,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,General Mutual Fund,Medium,8.0,3,Medium
100782,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),General Mutual Fund,Medium,8.0,3,Medium
100784,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,General Mutual Fund,Medium,8.0,3,Medium
100793,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),General Mutual Fund,Medium,8.0,3,Medium
100783,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),General Mutual Fund,Medium,8.0,3,Medium
100781,Mutual Fund,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,General Mutual Fund,Medium,8.0,3,Medium
